[train: 1, 50 / 3750] FPS: 41.2 (49.8)  ,  DataTime: 0.054 (0.006)  ,  ForwardTime: 0.329  ,  TotalTime: 0.389  ,  Loss/total: 2.45414  ,  Loss/giou: 0.91397  ,  Loss/l1: 0.12524  ,  IoU: 0.19488
[train: 1, 100 / 3750] FPS: 44.5 (46.9)  ,  DataTime: 0.032 (0.006)  ,  ForwardTime: 0.321  ,  TotalTime: 0.359  ,  Loss/total: 2.05793  ,  Loss/giou: 0.77745  ,  Loss/l1: 0.10061  ,  IoU: 0.28177
[train: 1, 150 / 3750] FPS: 45.7 (48.6)  ,  DataTime: 0.025 (0.006)  ,  ForwardTime: 0.319  ,  TotalTime: 0.350  ,  Loss/total: 1.87752  ,  Loss/giou: 0.71606  ,  Loss/l1: 0.08908  ,  IoU: 0.32119
[train: 1, 200 / 3750] FPS: 46.5 (49.0)  ,  DataTime: 0.021 (0.006)  ,  ForwardTime: 0.317  ,  TotalTime: 0.344  ,  Loss/total: 1.75994  ,  Loss/giou: 0.67183  ,  Loss/l1: 0.08326  ,  IoU: 0.33319
[train: 1, 250 / 3750] FPS: 47.0 (50.0)  ,  DataTime: 0.018 (0.006)  ,  ForwardTime: 0.316  ,  TotalTime: 0.340  ,  Loss/total: 1.68718  ,  Loss/giou: 0.64462  ,  Loss/l1: 0.07959  ,  IoU: 0.34852
[train: 1, 6 / 6] FPS: 22.6 (51.9)  ,  DataTime: 0.287 (0.006)  ,  ForwardTime: 0.414  ,  TotalTime: 0.707  ,  Loss/total: 2.56208  ,  Loss/giou: 0.74884  ,  Loss/l1: 0.21288  ,  IoU: 0.00088
[val: 1, 50 / 625] FPS: 74.2 (161.1)  ,  DataTime: 0.117 (0.006)  ,  ForwardTime: 0.092  ,  TotalTime: 0.216  ,  Loss/total: 1.11688  ,  Loss/giou: 0.00000  ,  Loss/l1: 0.22338  ,  IoU: 0.00000
[val: 1, 100 / 625] FPS: 81.3 (162.9)  ,  DataTime: 0.099 (0.007)  ,  ForwardTime: 0.092  ,  TotalTime: 0.197  ,  Loss/total: 1.11503  ,  Loss/giou: 0.00000  ,  Loss/l1: 0.22301  ,  IoU: 0.00000
[val: 1, 150 / 625] FPS: 82.4 (156.7)  ,  DataTime: 0.096 (0.007)  ,  ForwardTime: 0.092  ,  TotalTime: 0.194  ,  Loss/total: 1.11239  ,  Loss/giou: 0.00000  ,  Loss/l1: 0.22248  ,  IoU: 0.00000
[val: 1, 200 / 625] FPS: 78.6 (131.4)  ,  DataTime: 0.106 (0.006)  ,  ForwardTime: 0.091  ,  TotalTime: 0.204  ,  Loss/total: 1.10618  ,  Loss/giou: 0.00000  ,  Loss/l1: 0.22124  ,  IoU: 0.00000
[val: 1, 250 / 625] FPS: 79.3 (26.1)  ,  DataTime: 0.104 (0.006)  ,  ForwardTime: 0.091  ,  TotalTime: 0.202  ,  Loss/total: 1.10404  ,  Loss/giou: 0.00000  ,  Loss/l1: 0.22081  ,  IoU: 0.00000
[val: 1, 300 / 625] FPS: 81.9 (155.7)  ,  DataTime: 0.098 (0.006)  ,  ForwardTime: 0.091  ,  TotalTime: 0.195  ,  Loss/total: 1.10392  ,  Loss/giou: 0.00000  ,  Loss/l1: 0.22078  ,  IoU: 0.00000
[val: 1, 350 / 625] FPS: 82.7 (160.9)  ,  DataTime: 0.096 (0.006)  ,  ForwardTime: 0.091  ,  TotalTime: 0.193  ,  Loss/total: 1.10178  ,  Loss/giou: 0.00000  ,  Loss/l1: 0.22036  ,  IoU: 0.00000
